Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,6,undirected
ABronte_Agnes,CBronte_Jane,2,undirected
ABronte_Agnes,Dickens_David,1,undirected
ABronte_Tenant,ABronte_Agnes,6,undirected
ABronte_Tenant,Austen_Sense,1,undirected
ABronte_Tenant,CBronte_Jane,1,undirected
ABronte_Tenant,EBronte_Wuthering,4,undirected
ABronte_Tenant,Richardson_Pamela,2,undirected
Austen_Emma,Austen_Pride,5,undirected
Austen_Emma,Austen_Sense,4,undirected
Austen_Emma,Eliot_Middlemarch,1,undirected
Austen_Pride,Austen_Emma,5,undirected
Austen_Pride,Austen_Sense,6,undirected
Austen_Pride,Trollope_Barchester,1,undirected
Austen_Sense,ABronte_Tenant,1,undirected
Austen_Sense,Austen_Emma,4,undirected
Austen_Sense,Austen_Pride,6,undirected
CBronte_Jane,ABronte_Agnes,2,undirected
CBronte_Jane,ABronte_Tenant,1,undirected
CBronte_Jane,CBronte_Professor,5,undirected
CBronte_Jane,CBronte_Villette,6,undirected
CBronte_Jane,EBronte_Wuthering,4,undirected
CBronte_Professor,CBronte_Jane,5,undirected
CBronte_Professor,CBronte_Villette,4,undirected
CBronte_Professor,Dickens_David,1,undirected
CBronte_Villette,CBronte_Jane,6,undirected
CBronte_Villette,CBronte_Professor,4,undirected
CBronte_Villette,Dickens_David,1,undirected
Dickens_Bleak,Dickens_David,6,undirected
Dickens_Bleak,Dickens_Hard,5,undirected
Dickens_Bleak,Eliot_Middlemarch,1,undirected
Dickens_Bleak,Eliot_Mill,1,undirected
Dickens_Bleak,Sterne_Sentimental,2,undirected
Dickens_Bleak,Sterne_Tristram,2,undirected
Dickens_David,ABronte_Agnes,1,undirected
Dickens_David,CBronte_Professor,1,undirected
Dickens_David,CBronte_Villette,1,undirected
Dickens_David,Dickens_Bleak,6,undirected
Dickens_David,Dickens_Hard,4,undirected
Dickens_David,EBronte_Wuthering,1,undirected
Dickens_David,Eliot_Adam,1,undirected
Dickens_David,Eliot_Mill,2,undirected
Dickens_David,Sterne_Sentimental,1,undirected
Dickens_David,Thackeray_Barry,1,undirected
Dickens_David,Thackeray_Pendennis,1,undirected
Dickens_David,Thackeray_Vanity,1,undirected
Dickens_Hard,Dickens_Bleak,5,undirected
Dickens_Hard,Dickens_David,4,undirected
Dickens_Hard,Eliot_Mill,1,undirected
EBronte_Wuthering,ABronte_Tenant,4,undirected
EBronte_Wuthering,CBronte_Jane,4,undirected
EBronte_Wuthering,Dickens_David,1,undirected
Eliot_Adam,Dickens_David,1,undirected
Eliot_Adam,Eliot_Middlemarch,4,undirected
Eliot_Adam,Eliot_Mill,6,undirected
Eliot_Middlemarch,Austen_Emma,1,undirected
Eliot_Middlemarch,Dickens_Bleak,1,undirected
Eliot_Middlemarch,Eliot_Adam,4,undirected
Eliot_Middlemarch,Eliot_Mill,5,undirected
Eliot_Middlemarch,Sterne_Tristram,1,undirected
Eliot_Middlemarch,Trollope_Barchester,1,undirected
Eliot_Middlemarch,Trollope_Phineas,1,undirected
Eliot_Middlemarch,Trollope_Prime,1,undirected
Eliot_Mill,Dickens_Bleak,1,undirected
Eliot_Mill,Dickens_David,2,undirected
Eliot_Mill,Dickens_Hard,1,undirected
Eliot_Mill,Eliot_Adam,6,undirected
Eliot_Mill,Eliot_Middlemarch,5,undirected
Fielding_Joseph,Fielding_Tom,6,undirected
Fielding_Joseph,Thackeray_Barry,2,undirected
Fielding_Joseph,Trollope_Barchester,1,undirected
Fielding_Tom,Fielding_Joseph,6,undirected
Fielding_Tom,Richardson_Clarissa,4,undirected
Fielding_Tom,Richardson_Pamela,1,undirected
Fielding_Tom,Trollope_Barchester,1,undirected
Richardson_Clarissa,Fielding_Tom,4,undirected
Richardson_Clarissa,Richardson_Pamela,6,undirected
Richardson_Clarissa,Trollope_Barchester,1,undirected
Richardson_Pamela,ABronte_Tenant,2,undirected
Richardson_Pamela,Fielding_Tom,1,undirected
Richardson_Pamela,Richardson_Clarissa,6,undirected
Sterne_Sentimental,Dickens_Bleak,2,undirected
Sterne_Sentimental,Dickens_David,1,undirected
Sterne_Sentimental,Sterne_Tristram,6,undirected
Sterne_Tristram,Dickens_Bleak,2,undirected
Sterne_Tristram,Eliot_Middlemarch,1,undirected
Sterne_Tristram,Sterne_Sentimental,6,undirected
Thackeray_Barry,Dickens_David,1,undirected
Thackeray_Barry,Fielding_Joseph,2,undirected
Thackeray_Barry,Thackeray_Pendennis,4,undirected
Thackeray_Barry,Thackeray_Vanity,5,undirected
Thackeray_Pendennis,Dickens_David,1,undirected
Thackeray_Pendennis,Thackeray_Barry,4,undirected
Thackeray_Pendennis,Thackeray_Vanity,6,undirected
Thackeray_Vanity,Dickens_David,1,undirected
Thackeray_Vanity,Thackeray_Barry,5,undirected
Thackeray_Vanity,Thackeray_Pendennis,6,undirected
Trollope_Barchester,Austen_Pride,1,undirected
Trollope_Barchester,Eliot_Middlemarch,1,undirected
Trollope_Barchester,Fielding_Joseph,1,undirected
Trollope_Barchester,Fielding_Tom,1,undirected
Trollope_Barchester,Richardson_Clarissa,1,undirected
Trollope_Barchester,Trollope_Phineas,5,undirected
Trollope_Barchester,Trollope_Prime,4,undirected
Trollope_Phineas,Eliot_Middlemarch,1,undirected
Trollope_Phineas,Trollope_Barchester,5,undirected
Trollope_Phineas,Trollope_Prime,6,undirected
Trollope_Prime,Eliot_Middlemarch,1,undirected
Trollope_Prime,Trollope_Barchester,4,undirected
Trollope_Prime,Trollope_Phineas,6,undirected
